5.9333,1.3585,0.90722
5.9999,1.3302,0.76976
6.0666,1.3302,0.74227
6.1333,1.3302,0.68729
6.1999,1.3302,0.65979
6.2666,1.3302,0.65979
6.3333,1.2877,0.67354
6.3999,1.2736,0.65979
6.4666,1.2453,0.65979
6.5333,1.2453,0.65979
6.5999,1.1887,0.60481
6.6666,1.1038,0.54983
6.7333,1.0472,0.54983
6.7999,1.0189,0.52234
6.8666,1.0189,0.53608
6.9333,1.0047,0.53608
6.9999,1.0189,0.54983
7.0666,0.99057,0.52234
7.1333,0.99057,0.52234
7.1999,0.99057,0.52234
7.2666,0.99057,0.57732
7.3333,0.96226,0.60481
7.3999,0.87736,0.60481
7.4666,0.82075,0.60481
7.5333,0.73585,0.60481
7.5999,0.70755,0.60481
7.6666,0.56604,0.54983
7.7333,0.56604,0.57732
7.7999,0.56604,0.57732
7.8666,0.50943,0.57732
7.9333,0.48113,0.57732
7.9999,0.45283,0.54983
8.0666,0.39623,0.52234
8.1333,0.39623,0.52234
8.1999,0.33962,0.52234
8.2666,0.31132,0.49485
8.3332,0.22642,0.46735
8.3999,0.22642,0.46735
8.4666,0.22642,0.46735
8.5332,0.22642,0.46735
8.5999,0.22642,0.46735
8.6666,0.19811,0.46735
8.7332,0.14151,0.43986
8.7999,0.14151,0.41237
8.8666,0.14151,0.43986
8.9332,0.11321,0.41237
8.9999,0.099057,0.41237
9.0666,0.11321,0.41237
9.1332,0.084906,0.41237
9.1999,0.084906,0.41237
9.2666,0.084906,0.41237
9.3332,0.084906,0.41237
9.3999,0.11321,0.43986
9.4666,0.14151,0.43986
9.5332,0.14151,0.43986
9.5999,0.16981,0.46735
9.6666,0.19811,0.46735
9.7332,0.22642,0.46735
9.7999,0.25472,0.46735
9.8666,0.28302,0.46735
9.9332,0.31132,0.46735
9.9999,0.33962,0.46735
10.067,0.36792,0.41237
10.133,0.31132,0.41237
10.2,0.45283,0.35739
10.267,0.53774,0.3299
10.333,0.62264,0.35739
10.4,0.65094,0.35739
10.467,0.76415,0.3299
10.533,0.6934,0.3299
10.6,0.90566,0.3299
10.667,0.96226,0.3299
10.733,1.0189,0.3299
10.8,0.96226,0.3299
10.867,1.1038,0.3299
10.933,1.1038,0.3299
11,1.1604,0.35739
11.067,1.2028,0.35739
11.133,1.217,0.35739
11.2,1.217,0.35739
11.267,1.2736,0.35739
11.333,1.3302,0.35739
11.4,1.3585,0.35739
11.467,1.3868,0.35739
11.533,1.4575,0.3299
11.6,1.4717,0.3299
11.667,1.5,0.3299
11.733,1.4717,0.35739
11.8,1.5,0.35739
11.867,1.4717,0.38488
11.933,1.4717,0.38488
12,1.4717,0.38488
12.067,1.4717,0.38488
12.133,1.4717,0.38488
12.2,1.4434,0.38488
12.267,1.4434,0.38488
12.333,1.3868,0.3299
12.4,1.3868,0.3299
12.467,1.4434,0.35739
12.533,1.3868,0.3299
12.6,1.3868,0.3299
12.667,1.3585,0.3299
12.733,1.3585,0.30241
12.8,1.3585,0.30241
12.867,1.3585,0.30241
12.933,1.3019,0.30241
13,1.2453,0.3299
13.067,1.217,0.3299
13.133,1.1321,0.3299
13.2,1.1038,0.3299
13.267,1.1038,0.3299
13.333,1.0755,0.3299
13.4,1.0472,0.3299
13.467,0.96226,0.3299
